compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
30443266,35722857,35722857,8,0.239206314086914,0.0002071857452392
8291622,9289409,9289409,8,0.0652236938476562,0.0001778602600097
26544277,65348440,65348440,8,0.3983244895935058,0.0010008811950683
414520,1840177,1840177,8,0.0185027122497558,0.0004961490631103
5243211,5876494,5876494,8,0.0395312309265136,9.250640869140624e-05
373223,395892,395892,8,0.0030639171600341,9.083747863769533e-05
23791617,26113949,26113949,8,0.1854112148284912,0.0002188682556152
6544374,6956410,6956410,8,0.0503346920013427,9.512901306152344e-05
467448,1728924,1728924,8,0.0109639167785644,0.000129222869873
26363084,175133528,175133528,8,0.8122851848602295,0.000474214553833
7478577,35640464,35640464,8,0.1899151802062988,0.0004634857177734
9625883,64964772,64964772,8,0.2860007286071777,0.0001642704010009
13834524,14903145,14903145,8,0.1076345443725586,0.0002052783966064
1112965,7021306,7021306,8,0.0323989391326904,0.0001280307769775
24474653,25416962,25416962,8,0.1928660869598388,0.0001769065856933
7494900,35640464,35640464,8,0.1884839534759521,0.0004634857177734
10720497,11726753,11726753,8,0.0829191207885742,0.0001921653747558
8517189,36663816,36663816,8,0.2023196220397949,0.0004713535308837
12061395,13143900,13143900,8,0.0880930423736572,0.0001170635223388
20497547,112761440,112761440,8,0.5775659084320068,0.0004699230194091
5562387,31251156,31251156,8,0.1617612838745117,0.0004701614379882
17540925,18378307,18378307,8,0.1295289993286132,0.0001957416534423
223934,1076576,1076576,8,0.0067851543426513,0.0001275539398193
4507059,4658225,4658225,8,0.0346314907073974,0.0001749992370605
12538748,50170060,50170060,8,0.2904489040374756,0.0004680156707763
30849705,36245021,36245021,8,0.2463419437408447,0.0002295970916748
1332166,8026784,8026784,8,0.0389509201049804,0.0001282691955566
37277275,40135453,40135453,8,0.278461217880249,0.000209093093872
30168930,35437152,35437152,8,0.2391648292541504,0.0002098083496093
7446837,8052274,8052274,8,0.0569005012512207,0.0002079010009765
3531823,12950610,12950610,8,0.081780195236206,0.0004382133483886
7123226,8602293,8602293,8,0.0584568977355957,0.0001859664916992
20285542,60398656,60398656,8,0.5568735599517822,0.0091145038604736
1441880,1571221,1571221,8,0.0115892887115478,9.441375732421876e-05
31011427,195638558,195638558,8,0.9396963119506836,0.0004937648773193
