compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
5608741,31251156,31251156,8,0.1577579975128173,0.0004651546478271
18702080,112761440,112761440,8,0.530297040939331,0.0004775524139404
5540945,6043569,6043569,8,0.0426216125488281,0.000190258026123
37447115,40303133,40303133,8,0.2765982151031494,0.0002062320709228
3652538,27681600,27681600,8,0.1177399158477783,0.0001599788665771
224281,1076576,1076576,8,0.0064284801483154,0.000124454498291
269099,1515480,1515480,8,0.0080137252807617,0.000126838684082
8764175,58195084,58195084,8,0.2671349048614502,0.0004539489746093
7036687,8519572,8519572,8,0.0576879978179931,0.0001890659332275
2797515,15553178,15553178,8,0.0737967491149902,0.0001392364501953
1946636,2126123,2126123,8,0.0161128044128417,0.0001711845397949
26485093,28710365,28710365,8,0.1972386837005615,0.0002000331878662
5041357,32084390,32084390,8,0.144233226776123,0.0001521110534667
7466757,28578656,28578656,8,0.1591126918792724,0.0001485347747802
3267227,17237984,17237984,8,0.0838239192962646,0.0001325607299804
409783,1827239,1827239,8,0.0179388523101806,0.000547170639038
4301856,19641372,19641372,8,0.0987205505371093,0.000150442123413
26596382,175133528,175133528,8,0.7941670417785645,0.0005474090576171
9387649,10273079,10273079,8,0.0718684196472168,0.0001771450042724
24695407,29443934,29443934,8,0.1940870285034179,0.0002017021179199
7191260,50797156,50797156,8,0.2313785552978515,0.0004949569702148
9092573,9633963,9633963,8,0.0650370121002197,9.65595245361328e-05
5253799,5885549,5885549,8,0.0385899543762207,0.0001065731048583
5306312,27502349,27502349,8,0.1492538452148437,0.0002624988555908
1566264,7806068,7806068,8,0.0465352535247802,0.0004706382751464
13646595,14727665,14727665,8,0.1043920516967773,0.0001783370971679
293664,1095576,1095576,8,0.0072364807128906,0.0001246929168701
1520642,18227016,18227016,8,0.0585289001464843,0.0001285076141357
36691809,235535932,235535932,8,1.090787649154663,0.0005817413330078
36126595,40944254,40944254,8,0.2765824794769287,0.0002181529998779
678275,3047630,3047630,8,0.0290501117706298,0.0007402896881103
1906023,10988122,10988122,8,0.0585355758666992,0.0004332065582275
5648564,31251156,31251156,8,0.1586928367614746,0.0004479885101318
1997433,2111123,2111123,8,0.0163531303405761,0.0001709461212158
12075926,13113427,13113427,8,0.0927605628967285,0.000241994857788
3527997,3800636,3800636,8,0.0254294872283935,9.322166442871094e-05
1177469,6754364,6754364,8,0.032095193862915,0.0001392364501953
19657370,87888600,87888600,8,0.4039514064788818,0.0003492832183837
24825107,29555710,29555710,8,0.1955666542053222,0.0002167224884033
1794062,7943818,7943818,8,0.049443244934082,0.0004370212554931
20415798,124976288,124976288,8,0.5964152812957764,0.0004785060882568
2008735,12687744,12687744,8,0.0654804706573486,0.0004231929779052
1050647,1263487,1263487,8,0.0087478160858154,9.202957153320312e-05
1567424,7806068,7806068,8,0.0458030700683593,0.0004215240478515
13931,31596,31596,8,0.0012109279632568,0.0001299381256103
5512280,6208011,6208011,8,0.0405585765838623,9.322166442871094e-05
18524357,112761440,112761440,8,0.5425889492034912,0.0004713535308837
867486,3926642,3926642,8,0.0367212295532226,0.0008997917175292
10086296,10927444,10927444,8,0.0781915187835693,0.0001754760742187
1958176,2137584,2137584,8,0.0167262554168701,0.0001716613769531
4884403,19320406,19320406,8,0.1151778697967529,0.00016450881958
27426,418288,418288,8,0.0024631023406982,0.0001306533813476
10713033,62209188,62209188,8,0.2968144416809082,0.0001664161682128
40978339,248833188,248833188,8,1.159493923187256,0.000169038772583
3949595,28008702,28008702,8,0.1258087158203125,0.0001611709594726
8193898,9181038,9181038,8,0.0655360221862793,0.0001766681671142
27838534,142400848,142400848,8,0.7364602088928223,0.0004982948303222
21159934,22201380,22201380,8,0.1155393123626709,0.0005795955657958
8689474,36663816,36663816,8,0.2098476886749267,0.0004706382751464
414545,1840340,1840340,8,0.0185694694519042,0.0004980564117431
23487036,203493208,203493208,8,0.8521568775177002,0.0004785060882568
2614453,2780632,2780632,8,0.0213901996612548,0.0001730918884277
371948,383686,383686,8,0.0029108524322509,9.012222290039062e-05
5613929,31251156,31251156,8,0.1593289375305175,0.0004575252532958
6315581,50905368,50905368,8,0.2225160598754882,0.0004992485046386
9975955,58891084,58891084,8,0.2880392074584961,0.0004808902740478
16812237,78471588,78471588,8,0.3949918746948242,0.0001604557037353
17335807,18167580,18167580,8,0.1272597312927246,0.0001978874206542
1028972,6050748,6050748,8,0.0290257930755615,0.0001442432403564
1577220,7806068,7806068,8,0.0461015701293945,0.0004382133483886
11714713,66065428,66065428,8,0.3060920238494873,0.0001721382141113
13010037,13821772,13821772,8,0.0925297737121582,0.0001013278961181
7115014,27660608,27660608,8,0.1524722576141357,0.0001473426818847
8248000,48970040,48970040,8,0.2367835044860839,0.0004730224609375
9884845,58891084,58891084,8,0.2860689163208008,0.000472068786621
1064279,1144757,1144757,8,0.0080823898315429,0.0001022815704345
4295419,4446125,4446125,8,0.0327444076538085,0.0001740455627441
35429553,40054054,40054054,8,0.2703981399536133,0.0002088546752929
