full_path,size_bytes,extension,label,file_uuid
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gafiti_70040_N15_10_W02_52_village_03_2011_JH.JPG,3119937,jpg,decompressed,bbe043f6_Fulfulde_Gafiti_70040_N15_10_W02_52_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_Iril_area_of_summit_seen_from_Gana_01_2011_MD_JH.JPG,2795575,jpg,decompressed,a103d8fe_Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_Iril_area_of_summit_seen_from_Gana_01_2011_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_forested_ravine_below_Iril_area_of_summit_01_2011_MD_JH.JPG,2866758,jpg,decompressed,418183ee_Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_forested_ravine_below_Iril_area_of_summit_01_2011_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_gravely_terrain_01_2011_MD_JH.JPG,1247724,jpg,decompressed,f448f402_Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_gravely_terrain_01_2011_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_JH.JPG,3210669,jpg,decompressed,0d2db716_Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_closeup_JH.jpg,196058,jpg,decompressed,9bc268d7_Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_closeup_JH.jpg
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_lower_03_2011_JH.JPG,3152153,jpg,decompressed,e496f285_Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_lower_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_upper_abandoned_03_2011_JH.JPG,3163345,jpg,decompressed,02fa31d4_Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_upper_abandoned_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Garmi_70043_N15_14_W01_48_Rimaibe_06_2011_JH.JPG,3134589,jpg,decompressed,47825aac_Fulfulde_Garmi_70043_N15_14_W01_48_Rimaibe_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_valley_sandy_plain_with_huts_04_2011_JH.JPG,3084881,jpg,decompressed,dc082a1a_Fulfulde_Gassi_70044_N14_41_W03_37_valley_sandy_plain_with_huts_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_valley_with_Borassus_palm_grove_04_2011_JH.JPG,3097616,jpg,decompressed,6c2052dd_Fulfulde_Gassi_70044_N14_41_W03_37_valley_with_Borassus_palm_grove_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_village_04_2011_JH.JPG,3097751,jpg,decompressed,b4923bdb_Fulfulde_Gassi_70044_N14_41_W03_37_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gogoro_70046_N15_13_W02_23_village_03_2011_JH.JPG,1470908,jpg,decompressed,e3145593_Fulfulde_Gogoro_70046_N15_13_W02_23_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Goylel_Fulbe_70048_N15_19_W01_56_Rimaibe_quarter_06_2011_JH.JPG,2192352,jpg,decompressed,ab224083_Fulfulde_Goylel_Fulbe_70048_N15_19_W01_56_Rimaibe_quarter_06_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_GueourouPuloGoro_70049_TogoKanzone_N14_10_W03_14_village_05_2011_JH.JPG,3070994,jpg,decompressed,2b21ec55_Fulfulde_GueourouPuloGoro_70049_TogoKanzone_N14_10_W03_14_village_05_2011_JH.JPG
