file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
3c2047ea_49RY19941109_bundle.zip,9728,45695,45695,8,0.0006165504455566406,8.463859558105469e-05
794d9121_49WA20150630_bundle.zip,196354,589159,589159,8,0.003920316696166992,8.559226989746094e-05
9ca3d220_SOCATv4_NorthAtlantic.zip,42951154,274722123,274722123,8,1.3796875476837158,0.0001575946807861328
0b732108_33HH20140329_bundle.zip,166639,404524,404524,8,0.0032045841217041016,8.869171142578125e-05
93b58344_SOCATv4_NorthPacific.zip,15686645,96421180,96421180,8,0.4943110942840576,0.00016069412231445312
83510f1b_35MJ20150607_bundle.zip,197510,759851,759851,8,0.0047876834869384766,8.487701416015625e-05
62bab814_33GG20110822_bundle.zip,205736,663325,663325,8,0.004421710968017578,9.131431579589844e-05
4569597f_61TG20130827_bundle.zip,1029036,4068265,4068265,8,0.02496170997619629,9.512901306152344e-05
80f2bd1e_33GG20140215_bundle.zip,133145,365529,365529,8,0.002620697021484375,8.96453857421875e-05
ff062eba_ctd_2001_2002_f.zip,319279,953856,953856,8,0.006577730178833008,0.00010323524475097656
fca2c647_pCO2_meteor36_2.zip,326690,1952782,1952782,8,0.010116815567016602,9.34600830078125e-05
ac139c9e_642B20120830_bundle.zip,461516,2324679,2324679,8,0.013286590576171875,8.535385131835938e-05
3b4a423c_49UF20090610_bundle.zip,61720,396821,396821,8,0.0023033618927001953,8.344650268554688e-05
dd8b2349_33KF20140726_bundle.zip,135123,349818,349818,8,0.002670764923095703,9.083747863769531e-05
771228fe_sec_QC.zip,291617,326986,326986,8,0.003335714340209961,0.0001742839813232422
c69ed53f_49UF20081031_bundle.zip,19795,122864,122864,8,0.0009369850158691406,8.606910705566406e-05
c717f64a_33KF20130817_bundle.zip,123240,292139,292139,8,0.002337217330932617,8.988380432128906e-05
ae731748_SOCATv1.5_Coastal_2011_09_22.zip,69894412,531116500,531116500,8,2.4443671703338623,0.0001747608184814453
ba2618c4_33KF20150207_bundle.zip,144459,396676,396676,8,0.0029611587524414062,0.00010251998901367188
e5036429_33KF20140619_bundle.zip,207040,691861,691861,8,0.00455021858215332,8.988380432128906e-05
c82a3eed_35MJ20140827_bundle.zip,145614,633461,633461,8,0.003782510757446289,8.559226989746094e-05
cc32556d_AGB620130328_bundle.zip,360405,1233927,1233927,8,0.008558273315429688,8.869171142578125e-05
0295513e_MLCE20150521_bundle.zip,226853,602904,602904,8,0.004560232162475586,9.942054748535156e-05
198329e8_MLCE20150327_bundle.zip,194545,565233,565233,8,0.004086494445800781,9.965896606445312e-05
ca83297a_642B20140528_bundle.zip,478054,3853773,3853773,8,0.017991304397583008,9.036064147949219e-05
f005b703_35DR20130523_bundle.zip,217820,527984,527984,8,0.0032029151916503906,8.678436279296875e-05
85a0eec4_49HH20101217_bundle.zip,89145,412283,412283,8,0.002704143524169922,8.869171142578125e-05
00be9aa6_spco2_clim_ETH_SOM-FFN_CDIAC_G05.nc.zip,2865206,6487988,6487988,8,0.037084341049194336,8.821487426757812e-05
1772290f_33GG20130704_bundle.zip,161204,441546,441546,8,0.003145933151245117,0.00010132789611816406
5e302aff_33KF20141227_bundle.zip,183278,597058,597058,8,0.003969907760620117,8.893013000488281e-05
6363559e_SOCAT_tracks_gridded_decades_v2.nc.zip,1005249,12448557,12448557,8,0.046588897705078125,0.00010585784912109375
ced7e4a0_Meteor 30_2_updated_12_18_2007.zip,1234700,1922176,1922176,8,0.012859344482421875,0.00010275840759277344
27dcf5c3_33KF20150212_bundle.zip,127275,320760,320760,8,0.0024957656860351562,9.846687316894531e-05
db7b6c1c_49UP20000621_bundle.zip,29509,182046,182046,8,0.0012280941009521484,8.368492126464844e-05
1a3dc0d7_Meteor 32_5_updated_12_18_2007.zip,1481231,4666748,4666748,8,0.02576899528503418,0.000102996826171875
216308d5_33WA20120612_bundle.zip,252274,933222,933222,8,0.005892515182495117,9.036064147949219e-05
