file_name,compressed_size,decompressed_size,estimated_value,compression_type,decompression_time,estimation_time
e03e76a9_OUTCAR.gz,1696507,6940222,,,0.041216373443603516,
a927bbf2_OUTCAR.gz,1764606,7170095,,,0.046892404556274414,
b8de70f3_OUTCAR.gz,1609963,6651302,,,0.038977622985839844,
140419a2_OUTCAR.gz,1684681,7182464,,,0.041539907455444336,
252f86c4_OUTCAR.gz,1517131,5903595,,,0.03612565994262695,
b57dd4a9_OUTCAR.gz,1687048,6940178,,,0.04109334945678711,
d4ed18b5_OUTCAR.gz,1719737,7016704,,,0.04226851463317871,
58bee9c0_OUTCAR.gz,1696756,6938798,,,0.04119873046875,
462bd614_OUTCAR.gz,1612426,6707063,,,0.03940773010253906,
d161c3d3_OUTCAR.gz,1686785,6936992,,,0.04149818420410156,
5b3a4c57_OUTCAR.gz,1696274,6939556,,,0.04171586036682129,
5b74d4ab_OUTCAR.gz,1720473,7015383,,,0.04222822189331055,
6c4fe2cf_OUTCAR.gz,1724533,7018004,,,0.04189133644104004,
92dc6ed5_OUTCAR.gz,1743190,7094275,,,0.042311668395996094,
7d695663_OUTCAR.gz,1517031,5904385,,,0.03626108169555664,
3de6b3c3_OUTCAR.gz,1610819,6652747,,,0.039008378982543945,
ac90d003_OUTCAR.gz,1695514,6942988,,,0.04163408279418945,
4f6b88a2_fchl-predictions.csv.gz,10754710,64579289,,,0.3406393527984619,
1a5c88d6_displacement.tar.gz,762541,6318080,,,0.02889394760131836,
e25a2f40_OUTCAR.gz,1699176,6942369,,,0.04192829132080078,
ba05b947_OUTCAR.gz,1718412,7013583,,,0.041628360748291016,
162cde2c_OUTCAR.gz,1611452,6663686,,,0.038932085037231445,
7beadb3f_OUTCAR.gz,1688403,6939109,,,0.04142951965332031,
bf14922e_OUTCAR.gz,1609056,6645853,,,0.03896808624267578,
3d4be454_OUTCAR.gz,1521905,5899579,,,0.03604269027709961,
9692b91e_OUTCAR.gz,1617558,6731641,,,0.03921914100646973,
e549d1da_OUTCAR.gz,1610149,6657814,,,0.038938283920288086,
afe27b44_OUTCAR.gz,1516590,5903316,,,0.03571796417236328,
e4e7eed8_OUTCAR.gz,1609963,6651302,,,0.03875446319580078,
bdd13a72_OUTCAR.gz,1611502,6653474,,,0.038933753967285156,
95dd4759_OUTCAR.gz,1743570,7095605,,,0.04241037368774414,
8629fb35_OUTCAR.gz,1743578,7094371,,,0.042386770248413086,
aa802d12_OUTCAR.gz,1722477,7017499,,,0.041826486587524414,
479c7f0f_OUTCAR.gz,1518761,5900921,,,0.03618621826171875,
c78617fa_OUTCAR.gz,1623563,7873758,,,0.04278755187988281,
90f468f5_OUTCAR.gz,1798396,7113867,,,0.04291343688964844,
88874982_OUTCAR.gz,1687879,6942598,,,0.041185855865478516,
3c52f8d9_OUTCAR.gz,1716486,7018071,,,0.04165458679199219,
4db6ccc2_OUTCAR.gz,1610074,6657506,,,0.0390019416809082,
c67d1e1a_OUTCAR.gz,1686215,6938287,,,0.040949344635009766,
20eb4d84_OUTCAR.gz,1699241,6964856,,,0.04106330871582031,
c7b7d261_OUTCAR.gz,1747243,7093761,,,0.0422210693359375,
594be8dc_OUTCAR.gz,27,0,,,0.00013685226440429688,
5e5527ad_OUTCAR.gz,1502132,5847290,,,0.03573751449584961,
a554ed6d_OUTCAR.gz,1696238,6939502,,,0.04132390022277832,
